OrderInTree	Strain	Prey_of_FA350	Prey_of_B210	Domain	Phylum	Class	Order	Genus
1	Methanoplanus_endosymbiosus_DSM_3599	ND	ND	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoplanus
2	Cyclobacterium_amurskyense_SDUM239001	1	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Cyclobacterium
3	Algoriphagus_vanfongensis_SDUM203030	1	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
4	Algoriphagus_marinus_SDUM203040	1	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
5	Algoriphagus_marincola_SDUM203002	0	1	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
6	Algoriphagus_lutimaris_SDUM203007	1	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
7	Algoriphagus_halophilus_SDUM203009	0	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
8	Algoriphagus_machipongonensis_SDUM203027	0	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
9	Algoriphagus_faecimaris_SDUM203038	1	0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Algoriphagus
10	Saccharicrinis_carchari_SDUM258001	1	1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Saccharicrinis
11	Muricauda_flavescens_SDUM207011	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Muricauda
12	Muricauda_aquimarina_SDUM207007	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Muricauda
13	Muricauda_ruestringensis_SDUM207015	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Muricauda
14	Muricauda_lutimaris_SDUM207002	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Muricauda
15	Euzebyella_saccharophila_SDUM229001	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Euzebyella
16	Vitellibacter_vladivostokensis_SDUM249001	0	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Vitellibacter
17	Vitellibacter_aestuarii_SDUM249002	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Vitellibacter
18	Nonlabens_arenilitoris_SDUM216001	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Nonlabens
19	Psychroflexus_salis_SDUM226026	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Psychroflexus
20	Salegentibacter_echinorum_SDUM233003	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Salegentibacter
21	Salegentibacter_flavus_SDUM233011	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Salegentibacter
22	Gramella_aestuariivivens_SDUM241003	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Gramella
23	Mesonia_algae_SDUM251004	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Mesonia
24	Mesonia_ostreae_SDUM251014	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Mesonia
25	Seonamhaeicola_algicola_SDUM255002	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Seonamhaeicola
26	Hyunsoonleella_jejuensis_SDUM230002	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Hyunsoonleella
27	Hyunsoonleella_pacifica_SDUM230003	0	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Hyunsoonleella
28	Algibacter_aquimarinus_SDUM210005	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Algibacter
29	Tamlana_sedimentorum_SDUM252003	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Tamlana
30	Bizionia_paragorgiae_SDUM238006	0	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Bizionia
31	Mangrovimonas_yunxiaonensis_SDUM236001	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Mangrovimonas
32	Winogradskyella_eximia_SDUM212001	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Winogradskyella
33	Winogradskyella_thalassocola_SDUM212006	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Winogradskyella
34	Winogradskyella_epiphytica_SDUM212002	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Winogradskyella
35	Flavirhabdus_iliipiscaria_SDUM279001	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavirhabdus
36	Olleya_marilimosa_SDUM271001	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Olleya
37	Lutibacter_litoralis_SDUM225004	1	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Lutibacter
38	Tenacibaculum_gallaicum_SDUM215001	0	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Tenacibaculum
39	Tenacibaculum_lutimaris_SDUM215003	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Tenacibaculum
40	Ulvibacter_litoralis_SDUM213001	0	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Ulvibacter
41	Cellulophaga_fucicola_SDUM201013	1	1	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cellulophaga
42	Exiguobacterium_oxidotolerans_SDUM306014	1	1	Bacteria	Firmicutes	Bacilli	Bacillales	Exiguobacterium
43	Exiguobacterium_acetylicum_SDUM306001	1	0	Bacteria	Firmicutes	Bacilli	Bacillales	Exiguobacterium
