Samples	EnvirTypes
DRR075441	SW
ERR1103262	SW
ERR1103290	SW
ERR1512349	SW
ERR1520196	MS
ERR1543799	SW
ERR1543845	SW
ERR1543928	SW
ERR1545582	MS
ERR1545587	MS
ERR1590023	SLS
ERR1590031	SLW
ERR1590032	SLW
ERR1590039	SLS
ERR1590041	SLS
ERR1653411	MS
ERR1653441	MS
ERR1653449	MS
ERR1653545	MS
ERR1653621	MS
ERR1653634	MS
ERR1653653	MS
ERR1801504	SW
ERR1896872	NSW
ERR1897066	NSW
ERR1897292	NSW
ERR1897367	NSW
ERR1897390	NSW
ERR2604214	SW
ERR2604222	SW
ERR2604230	SW
ERR2604234	SW
ERR2604238	SW
ERR2604242	SW
ERR2604244	SW
ERR2604246	SW
ERR2604256	SW
ERR2604260	SW
ERR2816632	SW
ERR2816687	SW
SRR027980	SW
SRR1824339	SW
SRR1824343	SW
SRR1824345	SW
SRR1824346	SW
SRR1824348	SW
SRR1824349	SW
SRR1824431	SW
SRR1824434	SW
SRR1824436	SW
SRR2098493	SW
SRR5150137	SW
SRR5150171	SW
SRR5150214	SW
SRR5150219	SW
SRR5150255	SW
SRR5150259	SW
SRR5626060	SLS
SRR5626168	SLS
SRR5626195	SLS
SRR5626203	SLS
SRR5626208	SLS
SRR6287205	SW
SRR6287206	SW
SRR6287208	SW
SRR6287209	SW
SRR6287211	SW
SRR6287214	SW
SRR6287221	SW
SRR6287227	SW
SRR6287229	SW
SRR6287231	SW
SRR6287232	SW
SRR6287259	SW
SRR6287269	SW
SRR6287270	SW
SRR6287271	SW
SRR6287273	SW
SRR6287274	SW
SRR6287277	SW
SRR6287278	SW
SRR6287280	SW
SRR6287298	SW
SRR6287299	SW
SRR6287323	SW
SRR6287335	SW
SRR6287337	SW
SRR6287342	SW
SRR6287343	SW
SRR6287346	SW
SRR6287347	SW
SRR6325756	SS
SRR6325757	SS
SRR6325758	SS
SRR6325759	SS
SRR6325761	SS
SRR6325762	SS
SRR6325763	SS
SRR6325764	SS
SRR6325765	SS
SRR6325766	SS
SRR6325767	SS
SRR6325768	SS
SRR6325769	SS
SRR6325770	SS
SRR6325771	SS
SRR6325772	SS
SRR6340157	SS
SRR6340175	SS
SRR6508120	SW
SRR6508129	SW
SRR6511225	SW
SRR6511226	SW
SRR6511227	SW
SRR6511241	SW
SRR6511261	SW
SRR6511270	SW
SRR6511271	SW
SRR6511285	SW
SRR6511292	SW
SRR6511302	SW
SRR6511303	SW
SRR6511304	SW
SRR6511308	SW
SRR6511311	SW
SRR6511316	SW
SRR6511317	SW
SRR6962106	SW
SRR6962114	SW
