GenebankNo	DRR075441.txt	ERR1103262.txt	ERR1103290.txt	ERR1512349.txt	ERR1520196.txt	ERR1543799.txt	ERR1543845.txt	ERR1543928.txt	ERR1545582.txt	ERR1545587.txt	ERR1590023.txt	ERR1590031.txt	ERR1590032.txt	ERR1590039.txt	ERR1590041.txt	ERR1653411.txt	ERR1653441.txt	ERR1653449.txt	ERR1653545.txt	ERR1653621.txt	ERR1653634.txt	ERR1653653.txt	ERR1801504.txt	ERR1896872.txt	ERR1897066.txt	ERR1897292.txt	ERR1897367.txt	ERR1897390.txt	ERR2604214.txt	ERR2604222.txt	ERR2604230.txt	ERR2604234.txt	ERR2604238.txt	ERR2604242.txt	ERR2604244.txt	ERR2604246.txt	ERR2604256.txt	ERR2604260.txt	ERR2816632.txt	ERR2816687.txt	SRR027980.txt	SRR1824339.txt	SRR1824343.txt	SRR1824345.txt	SRR1824346.txt	SRR1824348.txt	SRR1824349.txt	SRR1824431.txt	SRR1824434.txt	SRR1824436.txt	SRR2098493.txt	SRR5150137.txt	SRR5150171.txt	SRR5150214.txt	SRR5150219.txt	SRR5150255.txt	SRR5150259.txt	SRR5626060.txt	SRR5626168.txt	SRR5626195.txt	SRR5626203.txt	SRR5626208.txt	SRR6287205.txt	SRR6287206.txt	SRR6287208.txt	SRR6287209.txt	SRR6287211.txt	SRR6287214.txt	SRR6287221.txt	SRR6287227.txt	SRR6287229.txt	SRR6287231.txt	SRR6287232.txt	SRR6287259.txt	SRR6287269.txt	SRR6287270.txt	SRR6287271.txt	SRR6287273.txt	SRR6287274.txt	SRR6287277.txt	SRR6287278.txt	SRR6287280.txt	SRR6287298.txt	SRR6287299.txt	SRR6287323.txt	SRR6287335.txt	SRR6287337.txt	SRR6287342.txt	SRR6287343.txt	SRR6287346.txt	SRR6287347.txt	SRR6325756.txt	SRR6325757.txt	SRR6325758.txt	SRR6325759.txt	SRR6325761.txt	SRR6325762.txt	SRR6325763.txt	SRR6325764.txt	SRR6325765.txt	SRR6325766.txt	SRR6325767.txt	SRR6325768.txt	SRR6325769.txt	SRR6325770.txt	SRR6325771.txt	SRR6325772.txt	SRR6340157.txt	SRR6340175.txt	SRR6508120.txt	SRR6508129.txt	SRR6511225.txt	SRR6511226.txt	SRR6511227.txt	SRR6511241.txt	SRR6511261.txt	SRR6511270.txt	SRR6511271.txt	SRR6511285.txt	SRR6511292.txt	SRR6511302.txt	SRR6511303.txt	SRR6511304.txt	SRR6511308.txt	SRR6511311.txt	SRR6511316.txt	SRR6511317.txt	SRR6962106.txt	SRR6962114.txt
AB491834.1.1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	55	109	0	30	0	0	131	232	0	0	0	0	0	0
AB491848.1.1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	56	0	0	0	0	0	38	0	0	0	0	16	15	38	71	0	0
AB533838.1.1509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB533868.1.1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	8	8	7	9	5	0	0	6	4	10	7	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB533880.1.1504	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB534005.1.1513	0	0	0	0	0	0	0	0	0	0	0	0	0	5	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB534028.1.1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF420354.1.1480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY162123.1.1378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF123492.1.1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	118	323	129	140	117	84	11	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
