seed	Anaeromyxobacter_dehalogenans	Archangium_gephyra	Archangium_violaceum	Bradymonadales_B210	Bacillus_subtilis	Bacteriovorax_stolpii	Bdellovibrio_bacteriovorus	Bdellovibrio_bacteriovorus_109J	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio_exovorus	Chondromyces_apiculatus	Chondromyces_crocatus	Corallococcus_coralloides	Cupriavidus_necator	Cystobacter_ferrugineus	Cystobacter_fuscus	Cytophaga_hutchinsonii	Desulfuromonas_acetexigens	Desulfuromonas_acetoxidans	Desulfuromonas_soudanensis	Ensifer_adhaerens	Bradymonadales_FA350	Fibrella_aestuarina	Fibrisoma_limi	Flavobacterium_johnsoniae	Geoalkalibacter_ferrihydriticus	Geoalkalibacter_subterraneus	Geobacter_anodireducens	Geobacter_bemidjiensis	Geobacter_bremensis	Geobacter_daltonii	Geobacter_lovleyi	Geobacter_metallireducens	Geobacter_pelophilus	Geobacter_pickeringii	Geobacter_soli	Geobacter_sulfurreducens	Geobacter_thiogenes	Geobacter_uraniireducens	Geopsychrobacter_electrodiphilus	Halobacteriovorax_marinus	Halobacteriovorax_sp_BSW11	Herpetosiphon_aurantiacu	Hyalangium_minutum	Lysobacter_antibioticus	Lysobacter_enzymogenes	Malonomonas_rubra	Micavibrio_aeruginosavorus	Micavibrio_aeruginosavorus_ARL	Micavibrio_aeruginosavorus_EPB	Micrococcus_luteus	Myxococcus_fulvus	Myxococcus_hansupus	Myxococcus_stipitatus	Myxococcus_virescens	Myxococcus_xanthus	Myxococcus_xanthus_DK1622	Pajaroellobacter_abortibovis	Pelobacter_acetylenicus	Pelobacter_carbinolicus	Pelobacter_propionicus	Pelobacter_seleniigenes	Plesiocystis_pacifica	Pseudobacteriovorax_antillogorgiicola	Bradymonadales_SEH01	Sandaracinus_amylolyticus	Saprospira_grandis	Sorangium_cellulosum	Stenotrophomonas_maltophilia	Stigmatella_aurantiaca	Stigmatella_erecta	Bradymonadales_TMQ3	Bradymonadales_TMQ4	Bradymonadales_TMQ1	Bradymonadales_TMQ2	Bradymonadales_V1718	Vampirovibrio_chlorellavorus	Vulgatibacter_incomptus	Bradymonadales_YN101	Bradymonadales_bin_CSSed10_215	Bradymonadales_bin_CSSed11_191	Bradymonadales_bin_T3Sed10_190	Bradymonadales_bin_T3Sed10_204
Gamma-glutamyltranspeptidase (EC 2.3.2.2)	1	2	2	1	2	0	1	1	1	0	3	2	1	5	1	1	0	0	0	0	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	3	2	1	1	2	3	2	2	2	1	1	1	1	1	0	1	1	0	1	0	1
Microbial collagenase, secreted (EC 3.4.24.3)	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proline iminopeptidase (EC 3.4.11.5)	0	2	2	0	0	1	1	2	2	1	1	1	2	2	3	4	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	2	0	2	2	2	1	2	1	3	3	4	4	0	0	0	0	0	3	1	0	2	0	1	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	1	3	4	1	7	2	2	4	4	2	0	0	3	2	3	3	1	0	1	0	4	1	3	7	6	0	0	0	2	2	0	0	0	2	0	0	1	0	1	0	2	2	1	2	0	0	0	4	4	4	2	3	3	7	3	3	3	1	0	0	0	0	3	3	1	1	1	4	3	4	4	1	1	1	1	1	1	1	2	1	2	1	2
Microsomal dipeptidase (EC 3.4.13.19)	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SOS-response repressor and protease LexA (EC 3.4.21.88)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	1	1	1	0	0	0	1	3	3	2	2	0	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	2	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Zinc metalloproteinase precursor (EC 3.4.24.29)	0	1	1	0	2	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xaa-Pro dipeptidase PepQ (EC 3.4.13.9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrrolidone-carboxylate peptidase (EC 3.4.19.3)	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Vibriolysin, extracellular zinc protease (EC 3.4.24.25)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Lipoprotein signal peptidase (EC 3.4.23.36)	1	2	3	1	1	3	2	2	2	3	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	2	1	1	1	3	1	1	1	1	1	1	1	2	2	2	3	4	4	0	1	1	2	1	2	1	2	2	1	3	1	2	2	2	2	2	2	1	1	2	2	1	2	0	2
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	2	2	1	1	2	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	1	3	2	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1	2	2	3	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	2	1	2	3	2	2	2	2	2	1	1	2	3	2	2	2
Aminopeptidase C (EC 3.4.22.40)	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oligopeptidase A (EC 3.4.24.70)	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Thimet oligopeptidase (EC 3.4.24.15)	1	1	1	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ATP-dependent protease La (EC 3.4.21.53)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signal peptidase I (EC 3.4.21.89)	2	3	4	3	4	2	3	3	3	3	4	3	3	1	3	3	2	1	1	1	1	2	1	2	1	1	1	2	2	1	4	3	1	2	1	2	1	4	4	1	2	2	2	3	1	3	2	1	1	1	3	3	1	2	1	1	1	1	1	1	2	2	2	1	2	2	2	3	2	2	1	2	1	2	2	1	1	2	3	1	3	0	3
