seed	Anaeromyxobacter_dehalogenans	Archangium_gephyra	Archangium_violaceum	Bradymonadales_B210	Bacillus_subtilis	Bacteriovorax_stolpii	Bdellovibrio_bacteriovorus	Bdellovibrio_bacteriovorus_109J	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio_exovorus	Chondromyces_apiculatus	Chondromyces_crocatus	Corallococcus_coralloides	Cupriavidus_necator	Cystobacter_ferrugineus	Cystobacter_fuscus	Cytophaga_hutchinsonii	Desulfuromonas_acetexigens	Desulfuromonas_acetoxidans	Desulfuromonas_soudanensis	Ensifer_adhaerens	Bradymonadales_FA350	Fibrella_aestuarina	Fibrisoma_limi	Flavobacterium_johnsoniae	Geoalkalibacter_ferrihydriticus	Geoalkalibacter_subterraneus	Geobacter_anodireducens	Geobacter_bemidjiensis	Geobacter_bremensis	Geobacter_daltonii	Geobacter_lovleyi	Geobacter_metallireducens	Geobacter_pelophilus	Geobacter_pickeringii	Geobacter_soli	Geobacter_sulfurreducens	Geobacter_thiogenes	Geobacter_uraniireducens	Geopsychrobacter_electrodiphilus	Halobacteriovorax_marinus	Halobacteriovorax_sp_BSW11	Herpetosiphon_aurantiacu	Hyalangium_minutum	Lysobacter_antibioticus	Lysobacter_enzymogenes	Malonomonas_rubra	Micavibrio_aeruginosavorus	Micavibrio_aeruginosavorus_ARL	Micavibrio_aeruginosavorus_EPB	Micrococcus_luteus	Myxococcus_fulvus	Myxococcus_hansupus	Myxococcus_stipitatus	Myxococcus_virescens	Myxococcus_xanthus	Myxococcus_xanthus_DK1622	Pajaroellobacter_abortibovis	Pelobacter_acetylenicus	Pelobacter_carbinolicus	Pelobacter_propionicus	Pelobacter_seleniigenes	Plesiocystis_pacifica	Pseudobacteriovorax_antillogorgiicola	Bradymonadales_SEH01	Sandaracinus_amylolyticus	Saprospira_grandis	Sorangium_cellulosum	Stenotrophomonas_maltophilia	Stigmatella_aurantiaca	Stigmatella_erecta	Bradymonadales_TMQ3	Bradymonadales_TMQ4	Bradymonadales_TMQ1	Bradymonadales_TMQ2	Bradymonadales_V1718	Vampirovibrio_chlorellavorus	Vulgatibacter_incomptus	Bradymonadales_YN101	Bradymonadales_bin_CSSed10_215	Bradymonadales_bin_CSSed11_191	Bradymonadales_bin_T3Sed10_190	Bradymonadales_bin_T3Sed10_204
Putative deoxyribonuclease YjjV	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Endonuclease III (EC 4.2.99.18)	1	3	3	2	1	1	1	1	1	1	2	2	3	1	3	3	1	2	2	2	1	2	3	3	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	4	1	1	3	1	1	1	1	3	3	3	3	3	3	1	2	2	1	3	2	1	2	1	1	3	1	4	4	2	2	2	2	1	0	1	2	0	1	0	1
Ribonuclease III (EC 3.1.26.3)	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Ribonuclease D (EC 3.1.26.3)	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1
ATP-dependent nuclease, subunit A	2	1	1	0	1	0	1	1	1	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ATP-dependent nuclease, subunit B	3	1	1	0	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CRISPR-associated RecB family exonuclease Cas4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRISPR-associated RecB family exonuclease Cas4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endonuclease VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Exodeoxyribonuclease I (EC 3.1.11.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
