Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus
ERR1538555	0	240	0	0	10137	0	NSLS	2173.91207968	2064.9018404908	6.62624904521	0.960178983613	0.945045222179	997
ERR1538556	1	514	0.00195	14	10125	0.00138	NSLS	2685.13969761	2751.67924528302	8.78145456741	0.993616691691	0.926354290233	1584
ERR1538559	0	542	0	0	10188	0	NSLS	1186.46670716	1355.5375	8.4992249211	0.992712012107	0.97573964497	1002
ERR1538576	3	702	0.00427	19	10095	0.00188	NSLS	6147.38160524	5974.03742203742	10.2197643457	0.997562707113	0.835460571881	2928
ERR1538579	2	624	0.00321	15	10125	0.00148	NSLS	1974.9325506	2011.47543859649	8.87046880608	0.993923452617	0.949495947816	1441
ERR1538581	0	261	0	0	10148	0	NSLS	2430.77066035	2495.6198630137	7.10368793996	0.974132172153	0.939060349912	1077
ERR1538582	1	530	0.00189	10	10115	0.00099	NSLS	3173.13124788	3114.72532894737	8.93459868407	0.993464591488	0.915257569799	1763
ERR1538585	1	575	0.00174	4	10128	0.00039	NSLS	2819.9729569	2874.22682119205	9.05909355215	0.994166257851	0.922163979824	1750
ERR1538586	0	259	0	0	10143	0	NSLS	2041.29117249	1877.63535911602	7.30697197514	0.982351162545	0.947771451011	1007
ERR1538588	1	499	0.002	9	10126	0.00089	NSLS	2253.19501412	2247.14901960784	8.55470315494	0.992148235859	0.940383669454	1415
ERR1538592	1	559	0.00179	14	10139	0.00138	NSLS	3014.45337238	3141.90501792115	9.00966434039	0.993993110578	0.91701980881	1755
ERR1538655	0	199	0	0	10156	0	NSLS	1489.59979792	1515.55555555556	5.9904378102	0.958602533158	0.960690128419	752
ERR1538676	1	480	0.00208	10	10109	0.00099	NSLS	2376.35298008	2426.28820960699	8.53472172974	0.992418889145	0.936665017318	1402
ERR1538678	0	679	0	0	10055	0	NSLS	5828.69126948	5748.47294589178	10.2599530037	0.997750847243	0.840114274456	2939
ERR1538681	0	836	0	0	10114	0	NSLS	4002.08997688	3981.84911242604	10.0822176295	0.99748433814	0.886363636364	2554
ERR1538684	0	704	0	0	10017	0	NSLS	5620.54250553	5342.213878327	10.2318057202	0.997766882705	0.846631205674	2877
ERR1538689	0	595	0	0	10099	0	NSLS	5358.36747621	5071.45087336245	9.71401089811	0.995306381851	0.856044930535	2620
ERR1538755	0	678	0	0	10099	0	NSLS	5535.32011225	5206.21887159533	10.0830846661	0.997201495809	0.849110390249	2812
ERR1538766	0	650	0	0	10014	0	NSLS	5620.46419428	5365.11468812877	10.0883885984	0.997397020136	0.846769413159	2804
ERR1538801	2	610	0.00328	17	10163	0.00167	NSLS	2361.21953422	2497.18482490272	9.01339842513	0.995124218368	0.935903806022	1564
ERR1538826	0	387	0	0	10177	0	NSLS	1475.01038693	1519.15789473684	7.53982666916	0.983407571748	0.961104017287	988
ERR1538831	0	353	0	0	10165	0	NSLS	1060.78996044	1096.03214285714	7.19955459771	0.979593586215	0.97390705002	775
ERR1538842	0	740	0	0	10078	0	NSLS	4016.4023015	4029.79239130435	10.0537771542	0.997573681371	0.886094821588	2458
ERR1538886	1	662	0.00151	10	10081	0.00099	NSLS	5281.93096058	5332.54493087558	9.99171151618	0.997137221802	0.855260570305	2687
ERR1589920	1	269	0.00372	26	10211	0.00255	NSLS	1634.36295504	1705.44642857143	6.75304303786	0.974124906775	0.95832110361	831
ERR1543757	0	559	0	0	10052	0	NSS	4025.7468531	4053.54269972452	9.8393707621	0.997560622358	0.888250705361	2233
ERR1543765	0	559	0	0	10069	0	NSS	4377.3815505	4359.59600997506	9.90772543718	0.997498001099	0.879245655608	2400
