Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	percentSize	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus	BioProject	SRA_Study	Depth	Lat	Long
DRR027530	2	81	0.02469	45	9884	0.00455	2	SW	653.539869	681.8287671	5.857972001	0.945979015	0.983526411	500	PRJDB3367	DRP002427	0.033	35.16	139.61
DRR027533	1	120	0.00833	18	9728	0.00185	2	SW	430.721051	446.3604651	6.68012056	0.973766653	0.992188397	379	PRJDB3367	DRP002427	0.042	35.16	139.61
DRR028683	1	130	0.00769	18	10215	0.00176	2	SW	1134.351945	1261.105263	6.493508254	0.965882659	0.970906961	665	PRJDB3419	DRP002509	0.5	28.88	122.12
DRR028690	2	136	0.01471	20	10214	0.00196	2	SW	1178.887878	1168.619048	6.469610319	0.95720971	0.970123023	706	PRJDB3419	DRP002509	0.5	28.85	122.22
DRR028692	0	147	0	0	10209	0	0	SW	2065.751364	2114.232558	6.441496574	0.94283626	0.947933965	975	PRJDB3419	DRP002509	0.5	28.9	122.25
DRR028695	1	164	0.0061	9	10229	0.00088	0	SW	1688.260509	1704.87218	6.852266623	0.957884302	0.956165186	924	PRJDB3419	DRP002509	0.5	28.89	122.29
DRR028723	0	215	0	0	10168	0	0	SW	3558.282076	3311.173835	7.50180726	0.964995307	0.906625037	1660	PRJDB3419	DRP002509	0.5	30.57	122.25
DRR028737	0	222	0	0	10202	0	0	SW	3177.451713	2972.901163	8.030275438	0.983087502	0.917154567	1574	PRJDB3419	DRP002509	0.5	30.13	122.67
DRR028749	0	154	0	0	10177	0	0	SW	2556.33443	2770.689922	6.83465518	0.956481439	0.936591552	1121	PRJDB3419	DRP002509	0.5	30.81	122.5
DRR057927	1	364	0.00275	20	9678	0.00207	2	SW	1185.411647	1251.315574	9.217285353	0.996950338	0.981425091	1085	PRJDB3913	DRP003064	0.035	65.4451	23.2985
DRR057928	2	363	0.00551	23	9576	0.0024	2	SW	1196.393894	1254.683761	9.259598701	0.997081988	0.981578947	1099	PRJDB3913	DRP003064	0.035	65.4451	23.2985
DRR057929	1	328	0.00305	16	9519	0.00168	2	SW	1228.868264	1299.625926	9.264149687	0.997015935	0.980058164	1123	PRJDB3913	DRP003064	0.035	65.4451	23.2985
DRR057934	0	323	0	0	9801	0	0	SW	921.5156555	988.4468085	8.509445587	0.994155434	0.984721939	832	PRJDB3913	DRP003064	0.035	65.4451	23.2985
DRR060143	0	416	0	0	10085	0	0	MS	6298.936046	5812.724665	10.06420566	0.996748395	0.832043874	2985	PRJDB4762	DRP003373	0	29.11	121.64
DRR060150	1	298	0.00336	11	10114	0.00109	2	MS	6719.998049	6263.345865	10.08272891	0.996204807	0.82170088	3100	PRJDB4762	DRP003373	0	29.35	122.25
DRR060159	0	390	0	0	10024	0	0	MS	5832.364962	5358.962766	9.854459991	0.99656323	0.840594463	2700	PRJDB4762	DRP003373	0	28.88	122.25
DRR060165	0	541	0	0	10119	0	0	MS	6450.226429	6078.040619	10.31845736	0.997929606	0.822494723	3050	PRJDB4762	DRP003373	0	30.2	122.5
DRR060166	0	500	0	0	9772	0	0	MS	6367.31913	5776.440727	10.14134022	0.997338307	0.826500658	2953	PRJDB4762	DRP003373	0	30.13	122.66
DRR060169	0	584	0	0	10072	0	0	MS	6400.855852	6294.00101	10.26319666	0.997464681	0.826138032	3083	PRJDB4762	DRP003373	0	29.9	122.49
DRR065508	0	517	0	0	10018	0	0	MS	5630.110432	5365.111588	9.947814168	0.996653979	0.847809	2763	PRJDB4942	DRP004313	0	29.34	122.02
DRR065509	2	485	0.00412	11	10084	0.00109	2	MS	6222.718795	5882.20082	10.07980864	0.997031302	0.834247649	2932	PRJDB4942	DRP004313	0	29.33	122.06
DRR065513	1	561	0.00178	9	10058	0.00089	0	MS	5975.783553	5646.464218	10.16046778	0.997365771	0.835672916	2979	PRJDB4942	DRP004313	0	29.26	122.24
DRR065514	0	570	0	0	10079	0	0	MS	5864.978125	5701.797852	10.17334805	0.99742342	0.837361777	2964	PRJDB4942	DRP004313	0	29.34	122.03
DRR065515	0	537	0	0	10121	0	0	MS	5446.705549	5042.500994	10.02909501	0.997266894	0.853081958	2767	PRJDB4942	DRP004313	0	29.33	122.07
DRR065526	0	547	0	0	10143	0	0	MS	5983.748946	5670.376648	10.37910986	0.998151443	0.837031968	3030	PRJDB4942	DRP004313	0	29.34	122.05
DRR065529	1	455	0.0022	11	10109	0.00109	2	MS	5878.54425	5722.355088	9.996415493	0.996917609	0.842660416	2820	PRJDB4942	DRP004313	0	29.34	122.06
DRR065533	1	467	0.00214	11	10136	0.00109	2	MS	5648.570971	5556.929705	9.877708661	0.996668587	0.846875	2741	PRJDB4942	DRP004313	0	29.33	122.1
DRR065543	0	528	0	0	9948	0	0	MS	6784.142614	6277.625205	10.46505694	0.998065294	0.812407243	3300	PRJDB4942	DRP004313	0	29.33	122.06
DRR065546	2	580	0.00345	9	10133	0.00089	0	MS	5784.758245	5469.49347	10.23917315	0.997596905	0.84144197	2978	PRJDB4942	DRP004313	0	29.33	122.07
DRR065547	0	542	0	0	10098	0	0	MS	6095.571662	5960.675388	10.30867367	0.997652028	0.832192451	3075	PRJDB4942	DRP004313	0	29.26	122.24
DRR065548	1	567	0.00176	4	10067	4e-04	0	MS	6595.0821	6209.882813	10.43433764	0.997870379	0.819359906	3246	PRJDB4942	DRP004313	0	29.34	122.03
DRR065555	1	547	0.00183	13	10060	0.00129	2	MS	6048.428448	5724.272727	10.24139819	0.997398902	0.833414897	3054	PRJDB4942	DRP004313	0	29.33	122.08
DRR065556	0	524	0	0	9986	0	0	MS	6346.660673	5816.124088	10.16396853	0.997254064	0.830135109	3030	PRJDB4942	DRP004313	0	29.26	122.25
DRR065560	1	563	0.00178	5	10066	5e-04	0	MS	5726.380605	5461.532668	10.18925213	0.997350258	0.839788732	2989	PRJDB4942	DRP004313	0	29.34	122.05
DRR065564	0	490	0	0	10114	0	0	MS	6309.093414	5872.541591	10.13166017	0.996995181	0.828546307	3067	PRJDB4942	DRP004313	0	29.33	122.1
DRR065566	1	439	0.00228	7	10068	7e-04	0	MS	6330.171692	5889.445255	10.17899782	0.997295308	0.828937085	3068	PRJDB4942	DRP004313	0	29.34	122.06
DRR065567	2	457	0.00438	26	10080	0.00258	2	MS	6356.282852	5988.183694	10.05405423	0.996870521	0.829664416	2991	PRJDB4942	DRP004313	0	29.33	122.1
DRR065568	1	483	0.00207	12	10129	0.00118	2	MS	6124.942579	5791.570764	10.241896	0.997553018	0.83297561	3050	PRJDB4942	DRP004313	0	29.26	122.27
