ANI	FA350	B210	SEH01	TMQ1	TMQ2	TMQ3	TMQ4	V1718	YN101
FA350	1	0.719	0.717	0.718	0.723	0.718	0.723	0.705	0.739
B210	0.719	1	0.788	0.789	0.782	0.789	0.782	0.704	0.719
SEH01	0.717	0.788	1	0.987	0.869	0.987	0.855	0.702	0.719
TMQ1	0.718	0.789	0.987	1	0.869	1	0.855	0.703	0.719
TMQ2	0.723	0.782	0.869	0.869	1	0.868	0.876	0.71	0.7224
TMQ3	0.718	0.789	0.987	1	0.868	1	0.855	0.702	0.717
TMQ4	0.723	0.782	0.855	0.855	0.876	0.855	1	0.705	0.721
V1718	0.705	0.704	0.702	0.703	0.71	0.702	0.705	1	0.702
YN101	0.739	0.719	0.719	0.719	0.7224	0.717	0.721	0.702	1
