genome	complete	GC	size	tRNAs	genes
Bacillus_subtilis	99.3	43.51	4.22	86	4247
Bdellovibrio_bacteriovorus_109J	93.2	50.65	3.83	37	3640
Bdellovibrio_bacteriovorus_HD100	91.9	50.65	3.78	37	3570
Bdellovibrio_exovorus	88.5	41.92	2.66	34	2620
Bradymonadales_B210	94.6	64.65	5.01	56	3859
Bradymonadales_bin_CSSed10_215	87.2	64.57	3.95	44	2969
Bradymonadales_bin_CSSed11_191	85.2	65.1	5.37	43	4635
Bradymonadales_bin_T3Sed10_190	53.4	64.19	2.83	26	2487
Bradymonadales_bin_T3Sed10_204	85.9	64.59	5.76	44	4691
Bradymonadales_FA350	90.5	61.14	5.05	55	3746
Bradymonadales_SEH01	95.3	63.6	5.33	53	4084
Bradymonadales_TMQ1	95.3	63.59	5.36	53	4090
Bradymonadales_TMQ2	95.3	65.0	5.59	53	4317
Bradymonadales_TMQ3	95.3	63.59	5.37	53	4096
Bradymonadales_TMQ4	95.3	64.37	5.61	55	4265
Bradymonadales_V1718	91.9	55.21	5.85	46	4845
Bradymonadales_YN101	95.3	63.81	8.05	60	5968
Corallococcus_coralloides	97.3	69.9	10.08	61	8136
Cupriavidus_necator	97.3	66.57	6.56	68	6032
Cytophaga_hutchinsonii	93.2	38.85	4.43	41	3782
Ensifer_adhaerens	97.3	62.83	4.07	58	3930
Fibrella_aestuarina	94.6	56.46	6.78	74	5626
Fibrisoma_limi	94.6	52.78	7.45	41	6246
Flavobacterium_johnsoniae	93.2	34.11	6.1	62	5200
Halobacteriovorax_marinus	81.1	36.75	3.44	36	3280
Halobacteriovorax_sp_BSW11	80.4	36.93	3.65	30	3466
Herpetosiphon_aurantiacu	93.9	50.72	6.35	55	5277
Lysobacter_antibioticus	94.6	66.81	5.77	56	4687
Lysobacter_enzymogenes	95.3	69.81	6.16	61	4939
Micavibrio_aeruginosavorus_ARL	93.9	54.71	2.48	44	2348
Micavibrio_aeruginosavorus_EPB	94.6	54.96	2.46	40	2321
Micrococcus_luteus	90.5	73.0	2.5	48	2294
Myxococcus_xanthus	95.3	68.89	9.14	69	7337
Saprospira_grandis	92.6	46.36	4.35	48	3443
Stenotrophomonas_maltophilia	96.6	65.54	4.69	60	4158
Stigmatella_aurantiaca	92.6	67.46	10.26	54	8297
Vampirovibrio_chlorellavorus	94.6	51.39	3.03	42	2818
