Genome	Complete (%)	GenomeSize (Mbp)	GC (% mol)	Genes	tRNAs	Peptidase	Nuclease
Bacillus_subtilis	99.3	4.22	43.51	4247	86	19	29
Saprospira_grandis	92.6	4.35	46.36	3443	48	8	21
Flavobacterium_johnsoniae	93.2	6.1	34.11	5200	62	16	24
Cytophaga_hutchinsonii	93.2	4.43	38.85	3782	41	5	23
Fibrella_aestuarina	94.6	6.78	56.46	5626	74	13	29
Fibrisoma_limi	94.6	7.45	52.78	6246	41	18	32
Halobacteriovorax_marinus	81.1	3.44	36.75	3280	36	13	26
Halobacteriovorax_sp_BSW11	80.4	3.65	36.93	3466	30	11	21
Bdellovibrio_exovorus	88.5	2.66	41.92	2620	34	15	21
Bdellovibrio_bacteriovorus_109J	93.2	3.83	50.65	3640	37	18	24
Bdellovibrio_bacteriovorus_HD100	91.9	3.78	50.65	3570	37	17	24
Herpetosiphon_aurantiacu	93.9	6.35	50.72	5277	55	11	27
Vampirovibrio_chlorellavorus	94.6	3.03	51.39	2818	42	6	17
Cupriavidus_necator	97.3	6.56	66.57	6032	68	18	31
Stenotrophomonas_maltophilia	96.6	4.69	65.54	4158	60	14	31
Lysobacter_antibioticus	94.6	5.77	66.81	4687	56	12	26
Lysobacter_enzymogenes	95.3	6.16	69.81	4939	61	12	25
Ensifer_adhaerens	97.3	4.07	62.83	3930	58	14	22
Micavibrio_aeruginosavorus_ARL	93.9	2.48	54.71	2348	44	13	21
Micavibrio_aeruginosavorus_EPB	94.6	2.46	54.96	2321	40	13	23
Bradymonadales_bin_T3Sed10_190	53.4	2.83	64.19	2487	26	3	19
Bradymonadales_bin_CSSed10_215	87.2	3.95	64.57	2969	44	8	21
Bradymonadales_bin_T3Sed10_204	85.9	5.76	64.59	4691	44	11	31
Bradymonadales_bin_CSSed11_191	85.2	5.37	65.1	4635	43	11	30
Bradymonadales_B210	94.6	5.01	64.65	3859	56	9	34
Bradymonadales_SEH01	95.3	5.33	63.6	4084	53	9	36
Bradymonadales_TMQ1	95.3	5.36	63.59	4090	53	9	35
Bradymonadales_TMQ3	95.3	5.37	63.59	4096	53	9	35
Bradymonadales_TMQ2	95.3	5.59	65	4317	53	9	34
Bradymonadales_TMQ4	95.3	5.61	64.37	4265	55	8	35
Bradymonadales_FA350	90.5	5.05	61.14	3746	55	8	38
Bradymonadales_YN101	95.3	8.05	63.81	5968	60	12	38
Bradymonadales_V1718	91.9	5.85	55.21	4845	46	7	37
Stigmatella_aurantiaca	92.6	10.26	67.46	8297	54	21	43
Corallococcus_coralloides	97.3	10.08	69.9	8136	61	19	44
Myxococcus_xanthus	95.3	9.14	68.89	7337	69	21	44
Micrococcus_luteus	90.5	2.5	73	2294	48	11	23
