Bradymonadales_bin_CSSed10_215	Bradymonadales_bin_T3Sed10_190	Bradymonadales_FA350	Bradymonadales_TMQ2	Bradymonadales_B210	Bradymonadales_SEH01	Bradymonadales_TMQ4	Bradymonadales_TMQ3	Bradymonadales_TMQ1	Bradymonadales_YN101	Bradymonadales_V1718	Bradymonadales_bin_CSSed11_191	Bradymonadales_bin_T3Sed10_204	Vampirovibrio_chlorellavorus	Micavibrio_aeruginosavorus_EPB	Micavibrio_aeruginosavorus_ARL	Halobacteriovorax_sp_BSW11	Halobacteriovorax_marinus	Bdellovibrio_exovorus	Bdellovibrio_bacteriovorus_HD100	Bdellovibrio_bacteriovorus_109J	Stigmatella_aurantiaca	Myxococcus_xanthus	Corallococcus_coralloides	Flavobacterium_johnsoniae	Ensifer_adhaerens	Bacillus_subtilis	Cupriavidus_necator	Stenotrophomonas_maltophilia	Lysobacter_enzymogenes	Lysobacter_antibioticus	Herpetosiphon_aurantiacu	Fibrisoma_limi	Fibrella_aestuarina	Micrococcus_luteus	Cytophaga_hutchinsonii	Saprospira_grandis
K02529;LacI family transcriptional regulator;lacI, galR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	7	6	1	5	4	5	7	4	2	0	0	0
K00033;6-phosphogluconate dehydrogenase ;PGD, gnd, gntZ	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	3	0	1	1	1	1	1	1	1	1	0
K00390;phosphoadenosine phosphosulfate reductase ;cysH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	1	0	1	1	1	1	1	1	1	0
K00549;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ;metE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	1	1	1	1	1	1	1	1	1	0
K01817;phosphoribosylanthranilate isomerase ;trpF	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1	1	1	1	1	1	1	1	1	3	3	1	2	1
K07141;molybdenum cofactor cytidylyltransferase ;mocA	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	1	0	2	2	0	0	0
K09691;lipopolysaccharide transport system ATP-binding protein;ABC-2.LPSE.A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	2	1	2	1	1	0	1	1
K11755;phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase ;hisIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0
K02361;isochorismate synthase ;entC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0
K05982;deoxyribonuclease V ;E3.1.21.7, nfi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	1	0	1	1	0	1	1	1	0	1	1
K00833;adenosylmethionine---8-amino-7-oxononanoate aminotransferase ;bioA	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
K01443;N-acetylglucosamine-6-phosphate deacetylase ;nagA, AMDHD2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	2	2	2	1	1	1	1	0	0
K01057;6-phosphogluconolactonase ;PGLS, pgl, devB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	2	2	1	1	1	0	0	0
K00266;glutamate synthase (NADPH) small chain ;gltD	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0
K01814;phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase ;hisA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
K01609;indole-3-glycerol phosphate synthase ;trpC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
K00013;histidinol dehydrogenase ;hisD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
K00901;diacylglycerol kinase (ATP) ;dgkA, DGK	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	1	0	1	2	1	1	1	2	1	0	1	0
K09125;uncharacterized protein;K09125	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1
K00766;anthranilate phosphoribosyltransferase ;trpD	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
K01657;anthranilate synthase component I ;trpE	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	0
K03320;ammonium transporter, Amt family;amt, AMT, MEP	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	2	1	1	2	1	1	1	3	1	1	1	4	0
K00937;polyphosphate kinase ;ppk	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	2	1	1	2	1	0	2	1	1	1	1	1	1	0	1	1
K03719;Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein;lrp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	3	4	4	4	2	1	1	0	0	0	1	1	0
K00375;GntR family transcriptional regulator / MocR family aminotransferase;K00375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	3	4	0	3	3	0	2	1	0	0	0
K07088;uncharacterized protein;K07088	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	1	2	0	1	1	0	1	0	1	0	0
K00036;glucose-6-phosphate 1-dehydrogenase ;G6PD, zwf	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	1	2	2	1	1	1	2	0	0
